IDLocator,L_Route,L_Dir,L_Lane,L_Section
11071,2061_1,5,4,610454
11072,2061_2,5,4,610454
11073,2063_1,5,1,610460
11074,2063_2,5,1,610460
11075,2063_3,5,1,610460
11076,2063_1,5,2,610462
11077,2063_2,5,2,610462
11078,2063_3,5,2,610462
11079,2063_1,5,3,610463
11080,2063_2,5,3,610463
11081,2063_3,5,3,610463
11082,2063_1,5,4,610464
11083,2063_2,5,4,610464
11084,2063_3,5,4,610464
11085,2064-RB1,5,1,610470
11086,2064-RB1,5,2,610472
11087,2064-RB1,5,3,610473
11088,2064-RB1,5,4,610474
11089,2064_1,5,1,610480
11090,2064_2,5,1,610480
11091,2064_3,5,1,610480
11092,2064_4,5,1,610480
11093,2064_5,5,1,610480
11094,2064_6,5,1,610480
11095,2064_7,5,1,610480
11096,2064_1,5,2,610482
11097,2064_2,5,2,610482
11098,2064_3,5,2,610482
11099,2064_4,5,2,610482
11100,2064_5,5,2,610482
11101,2064_6,5,2,610482
11102,2064_7,5,2,610482
11103,2064_1,5,3,610483
11104,2064_2,5,3,610483
11105,2064_3,5,3,610483
11106,2064_4,5,3,610483
11107,2064_5,5,3,610483
11108,2064_6,5,3,610483
11109,2064_7,5,3,610483
11110,2064_1,5,4,610484
11111,2064_2,5,4,610484
11112,2064_3,5,4,610484
11113,2064_4,5,4,610484
11114,2064_5,5,4,610484
11115,2064_6,5,4,610484
11116,2064_7,5,4,610484
11117,2065_1,5,1,610490
11118,2065_2,5,1,610490
11119,2065_3,5,1,610490
11120,2065_1,5,2,610492
11121,2065_2,5,2,610492
11122,2065_3,5,2,610492
11123,2065_1,5,3,610493
11124,2065_2,5,3,610493
11125,2065_3,5,3,610493
11126,2065_1,5,4,610494
11127,2065_2,5,4,610494
11128,2065_3,5,4,610494
11129,2066_1,5,1,610500
11130,2066_2,5,1,610500
11131,2066_1,5,2,610502
11132,2066_2,5,2,610502
11133,2066_1,5,3,610503
11134,2066_2,5,3,610503
11135,2066_1,5,4,610504
11136,2066_2,5,4,610504
11137,2067_1,5,1,610510
11138,2067_2,5,1,610510
11139,2067_3,5,1,610510
11140,2067_1,5,2,610512
11141,2067_2,5,2,610512
11142,2067_3,5,2,610512
11143,2067_1,5,3,610513
11144,2067_2,5,3,610513
11145,2067_3,5,3,610513
11146,2067_1,5,4,610514
11147,2067_2,5,4,610514
11148,2067_3,5,4,610514
11149,2069_1,5,1,610520
11150,2069_2,5,1,610520
11151,2069_1,5,2,610522
11152,2069_2,5,2,610522
11153,2069_1,5,3,610523
11154,2069_2,5,3,610523
11155,2069_1,5,4,610524
11156,2069_2,5,4,610524
11157,2070_1,5,1,610530
11158,2070_2,5,1,610530
11159,2070_1,5,2,610532
11160,2070_2,5,2,610532
11161,2070_1,5,3,610533
11162,2070_2,5,3,610533
11163,2070_1,5,4,610534
11164,2070_2,5,4,610534
11165,2071,5,1,610540
11166,2071,5,2,610542
11167,2071,5,3,610543
11168,2071,5,4,610544
11169,2075_1,5,1,610550
11170,2075_2,5,1,610550
11171,2075_1,5,2,610552
11172,2075_2,5,2,610552
11173,2075_1,5,3,610553
11174,2075_2,5,3,610553
11175,2075_1,5,4,610554
11176,2075_2,5,4,610554
11177,2077_1,5,1,610560
11178,2077_2,5,1,610560
11179,2077_1,5,2,610562
11180,2077_2,5,2,610562
11181,2077_1,5,3,610563
11182,2077_2,5,3,610563
11183,2077_1,5,4,610564
11184,2077_2,5,4,610564
11185,2078-1,5,1,610570
11186,2078-1,5,2,610572
11187,2078-1,5,3,610573
11188,2078-1,5,4,610574
11189,2078_1,5,1,610580
11190,2078_2,5,1,610580
11191,2078_3,5,1,610580
11192,2078_4,5,1,610580
11193,2078_5,5,1,610580
11194,2078_6,5,1,610580
11195,2078_7,5,1,610580
11196,2078_8,5,1,610580
11197,2078_9,5,1,610580
11198,2078_10,5,1,610580
11199,2078_11,5,1,610580
11200,2078_12,5,1,610580
11201,2078_13,5,1,610580
11202,2078_14,5,1,610580
11203,2078_15,5,1,610580
11204,2078_16,5,1,610580
11205,2078_17,5,1,610580
11206,2078_1,5,2,610582
11207,2078_2,5,2,610582
