rsection,rbeg_chg,rend_chg,rlength,rdir,BEGLAT,BEGLONG,ENDLAT,ENDLONG,loc1,loc2,loc3,loc4,loc5,loc6,loc7,loc8,loc9,loc10
626503,1.639,2.052,0.413,5,0.430525369,0.955797886,0.430579008,0.95583832,7798_6,5,3,626503,,,,,,
626503,2.052,2.269,0.217,5,0.430579008,0.95583832,0.430607132,0.95585945,7798_7,5,3,626503,,,,,,
626504,0,0.47,0.47,5,0.43031263,0.955637835,0.430373762,0.955683585,7798_1,5,4,626504,,,,,,
626504,0.47,0.808,0.338,5,0.430373762,0.955683585,0.430417657,0.955716695,7798_2,5,4,626504,,,,,,
626504,0.808,1.147,0.339,5,0.430417657,0.955716695,0.430461615,0.955749837,7798_3,5,4,626504,,,,,,
626504,1.147,1.225,0.078,5,0.430461615,0.955749837,0.430471691,0.955757433,7798_4,5,4,626504,,,,,,
626504,1.225,1.639,0.414,5,0.430471691,0.955757433,0.430525369,0.955797886,7798_5,5,4,626504,,,,,,
626504,1.639,2.052,0.413,5,0.430525369,0.955797886,0.430579008,0.95583832,7798_6,5,4,626504,,,,,,
626504,2.052,2.269,0.217,5,0.430579008,0.95583832,0.430607132,0.95585945,7798_7,5,4,626504,,,,,,
626970,0,0.493,0.493,5,0.430269679,0.95572521,0.430268024,0.955800275,7983_1,5,1,626970,,,,,,
626970,0.493,0.986,0.493,5,0.430268024,0.955800275,0.430318972,0.955863625,7983_2,5,1,626970,,,,,,
626970,0.986,1.479,0.493,5,0.430318972,0.955863625,0.430335284,0.955946333,7983_3,5,1,626970,,,,,,
626972,0,0.493,0.493,5,0.430269679,0.95572521,0.430268024,0.955800275,7983_1,5,2,626972,,,,,,
626972,0.493,0.986,0.493,5,0.430268024,0.955800275,0.430318972,0.955863625,7983_2,5,2,626972,,,,,,
626972,0.986,1.479,0.493,5,0.430318972,0.955863625,0.430335284,0.955946333,7983_3,5,2,626972,,,,,,
626973,0,0.493,0.493,5,0.430269679,0.95572521,0.430268024,0.955800275,7983_1,5,3,626973,,,,,,
626973,0.493,0.986,0.493,5,0.430268024,0.955800275,0.430318972,0.955863625,7983_2,5,3,626973,,,,,,
626973,0.986,1.479,0.493,5,0.430318972,0.955863625,0.430335284,0.955946333,7983_3,5,3,626973,,,,,,
626974,0,0.493,0.493,5,0.430269679,0.95572521,0.430268024,0.955800275,7983_1,5,4,626974,,,,,,
626974,0.493,0.986,0.493,5,0.430268024,0.955800275,0.430318972,0.955863625,7983_2,5,4,626974,,,,,,
626974,0.986,1.479,0.493,5,0.430318972,0.955863625,0.430335284,0.955946333,7983_3,5,4,626974,,,,,,
626990,0,0.12,0.12,5,0.430479631,0.955755043,0.430490404,0.955738023,8080,5,1,626990,,,,,,
626992,0,0.12,0.12,5,0.430479631,0.955755043,0.430490404,0.955738023,8080,5,2,626992,,,,,,
626993,0,0.12,0.12,5,0.430479631,0.955755043,0.430490404,0.955738023,8080,5,3,626993,,,,,,
